feature,importance
sector_strength_rank_pct,4319
close,928
ret_20d,745
volatility_20d,702
macd,615
ret_10d,601
trades_ratio_5_20,570
macd_hist,567
rsi_delta_3d,550
close_vs_20d_high_pct,534
ret_5d,490
score_ma_10,484
bb_pct,459
close_vs_20d_low_pct,457
ret_3d,448
broker_avg_trade_size,439
rsi14,417
distance_from_ema20_pct,392
change_pct,380
volatility_5d,378
atr14,378
turnover,351
broker_top5_buy_amount_share,305
turnover_ratio_3_20,289
trades,284
volume_ratio_5_20,243
broker_active_count,229
volume_ratio,220
volume,213
liquidity_spike_ma_5,212
broker_top3_buy_amount_share,208
pump_score,171
score_ma_5,159
dump_score,116
dump_score_ma_3,112
pump_score_ma_3,108
liquidity_spike,78
ret_1d,75
total_score,60
broker_total_buy_amount,43
score_delta_3d,27
broker_total_buy_qty,25
broker_total_sell_amount,14
broker_total_sell_qty,5
net_broker_flow,0
broker_top5_net_qty_share,0
broker_top3_net_qty_share,0
broker_buy_sell_ratio,0
broker_total_net_qty,0
broker_distribution,0
broker_accumulation,0
sector_point_change,0
sector_index_value,0
sector_change_pct,0
net_broker_flow_z20,0
net_broker_flow_ma_3,0
net_broker_flow_ma_5,0
broker_accumulation_ma_3,0
broker_distribution_ma_3,0
sector_change_ma_5,0
sector_change_ma_10,0
